,Predictions
3414,1.2113703
3415,1.2113651
3416,1.2113556
3417,1.211355
3418,1.2113485
3419,1.2113388
3420,1.2113442
3421,1.2113644
3422,1.2113928
3423,1.2114366
3424,1.2114714
3425,1.2114885
3426,1.2114881
3427,1.2114714
3428,1.2114508
3429,1.2114284
3430,1.2114111
3431,1.2113978
3432,1.2113817
3433,1.2113701
3434,1.2113618
3435,1.2113501
3436,1.2113482
3437,1.2113692
3438,1.2113864
3439,1.2113955
3440,1.2114049
3441,1.2114141
3442,1.2114227
3443,1.2114532
3444,1.2114847
3445,1.2115214
3446,1.2115599
3447,1.2116038
3448,1.2116492
3449,1.2116827
3450,1.2117076
3451,1.211732
3452,1.2117604
3453,1.2117902
3454,1.2118199
3455,1.211848
3456,1.21188
3457,1.2119129
3458,1.2119396
3459,1.2119613
3460,1.2119737
3461,1.2119796
3462,1.2119926
3463,1.2120035
3464,1.2120186
3465,1.2120298
3466,1.2120327
3467,1.2120303
3468,1.2120191
3469,1.2120085
3470,1.2120097
3471,1.2120124
3472,1.2120161
3473,1.2120258
3474,1.2120389
3475,1.2120591
3476,1.2121054
3477,1.2121603
3478,1.2122076
3479,1.2122484
3480,1.2122837
3481,1.2123144
3482,1.2123463
3483,1.2123835
3484,1.2124225
3485,1.2124554
3486,1.2124834
3487,1.2125183
3488,1.2125561
3489,1.2125888
3490,1.2126168
3491,1.2126522
3492,1.2126906
3493,1.2127237
3494,1.2127526
3495,1.2127886
3496,1.2128276
3497,1.2128724
3498,1.2129136
3499,1.2129456
3500,1.2129706
3501,1.2129848
3502,1.2130027
3503,1.213011
3504,1.2130133
3505,1.2130114
3506,1.2130071
3507,1.2130069
3508,1.213009
3509,1.2130015
3510,1.2130105
3511,1.2130182
3512,1.2130357
3513,1.2130423
3514,1.2130474
3515,1.2130458
3516,1.2130401
3517,1.2130432
3518,1.213046
3519,1.2130485
3520,1.2130452
3521,1.2130495
3522,1.2130362
3523,1.2130181
3524,1.2129978
3525,1.2129877
3526,1.2129731
3527,1.2129567
3528,1.2129394
3529,1.2129167
3530,1.2128918
3531,1.2128718
3532,1.21285
3533,1.2128224
3534,1.2127924
3535,1.2127619
3536,1.2127267
3537,1.2126845
3538,1.2126395
3539,1.2125943
3540,1.2125341
3541,1.2124668
3542,1.2123978
3543,1.2123245
3544,1.2122626
3545,1.21221
3546,1.212182
3547,1.2121536
3548,1.2121373
3549,1.2121125
3550,1.2120892
3551,1.2120676
3552,1.212048
3553,1.2120306
3554,1.2120152
3555,1.2120016
3556,1.2119895
3557,1.2119849
3558,1.2119734
3559,1.211953
3560,1.2119222
3561,1.2118915
3562,1.2118566
3563,1.2118204
3564,1.211779
3565,1.2117248
3566,1.2116704
3567,1.2116233
3568,1.2115828
3569,1.2115532
3570,1.2115318
3571,1.2115105
3572,1.2114848
3573,1.2114518
3574,1.2114154
3575,1.2114011
3576,1.2113893
3577,1.2113855
3578,1.2113812
3579,1.2113825
3580,1.2113873
3581,1.2113883
3582,1.2113985
3583,1.2114139
3584,1.2114207
3585,1.211422
3586,1.2114142
3587,1.211418
3588,1.2114176
3589,1.2114145
3590,1.2114098
3591,1.2114044
3592,1.2114211
3593,1.211434
3594,1.2114441
3595,1.2114522
3596,1.2114588
3597,1.2114584
3598,1.211454
3599,1.211447
3600,1.2114387
3601,1.2114298
3602,1.2114323
3603,1.2114359
3604,1.2114288
3605,1.2114269
3606,1.2114111
3607,1.2113931
3608,1.2113744
3609,1.2113446
3610,1.2113148
3611,1.211286
3612,1.2112589
3613,1.2112395
3614,1.2112199
3615,1.2112012
3616,1.2111778
3617,1.2111528
3618,1.2111276
3619,1.2111033
3620,1.2110804
3621,1.2110649
3622,1.2110548
3623,1.2110481
3624,1.2110442
3625,1.2110419
3626,1.2110467
3627,1.211061
3628,1.2110809
3629,1.2111036
3630,1.211127
3631,1.2111559
3632,1.2111869
3633,1.2112238
3634,1.2112628
3635,1.2113131
3636,1.2113626
3637,1.21141
3638,1.2114598
3639,1.2115035
3640,1.2115419
3641,1.2115699
3642,1.2115959
3643,1.2116139
3644,1.2116376
3645,1.2116693
3646,1.2116991
3647,1.2117265
3648,1.2117571
3649,1.2117883
3650,1.2118132
3651,1.2118388
3652,1.2118751
3653,1.2119107
3654,1.2119392
3655,1.2119677
3656,1.2120008
3657,1.2120297
3658,1.2120492
3659,1.2120625
3660,1.2120768
3661,1.2120852
3662,1.2120901
3663,1.2120924
3664,1.2120929
3665,1.212092
3666,1.2120795
3667,1.21206
3668,1.2120314
3669,1.2120036
3670,1.2119718
3671,1.2119442
3672,1.2119147
3673,1.211885
3674,1.2118509
3675,1.2118208
3676,1.2118057
3677,1.2118058
3678,1.2118212
3679,1.211851
3680,1.2118944
3681,1.2119446
3682,1.2119972
3683,1.2120494
3684,1.212105
3685,1.2121551
3686,1.2122111
3687,1.2122909
3688,1.2123653
3689,1.2124339
3690,1.2124963
3691,1.2125468
3692,1.2126049
3693,1.2126484
3694,1.2126813
3695,1.2127008
3696,1.2127113
3697,1.2127266
3698,1.212733
3699,1.2127283
3700,1.2127221
3701,1.2127151
3702,1.2127024
3703,1.2126865
3704,1.2126693
3705,1.2126516
3706,1.2126344
3707,1.2126127
3708,1.2125944
3709,1.212579
3710,1.2125714
3711,1.2125746
3712,1.2125953
3713,1.2126153
3714,1.2126338
3715,1.2126511
3716,1.212667
3717,1.2126814
3718,1.2126943
3719,1.2127002
3720,1.2126906
3721,1.2126828
3722,1.2126986
3723,1.2127169
3724,1.2127309
3725,1.2127415
3726,1.2127498
3727,1.2127618
3728,1.2127757
3729,1.2127624
3730,1.212794
3731,1.2128294
3732,1.2128716
3733,1.2128999
3734,1.2129298
3735,1.2129539
3736,1.212957
3737,1.2129692
3738,1.2129806
3739,1.2129912
3740,1.213012
3741,1.2130381
3742,1.21305
3743,1.2130582
3744,1.2130694
3745,1.213082
3746,1.2131057
3747,1.21313
3748,1.2131537
3749,1.2131708
3750,1.213183
3751,1.2131919
3752,1.2131927
3753,1.2131885
3754,1.2131869
3755,1.2131922
3756,1.2132016
3757,1.2132187
3758,1.2132399
3759,1.2132518
3760,1.2132578
3761,1.2132541
3762,1.2132448
3763,1.2132322
3764,1.2132235
3765,1.2132063
3766,1.2132068
3767,1.213207
3768,1.2132235
3769,1.2132494
3770,1.2132803
3771,1.2133131
3772,1.2133459
3773,1.2133721
3774,1.2134043
3775,1.2134331
3776,1.2134646
3777,1.2135019
3778,1.2135358
3779,1.2135718
3780,1.2136132
3781,1.2136725
3782,1.2137352
3783,1.2137921
3784,1.2138436
3785,1.2138786
3786,1.2139025
3787,1.2139128
3788,1.2139144
3789,1.2139267
3790,1.2139394
3791,1.2139411
3792,1.2139359
3793,1.2139266
3794,1.213915
3795,1.2139131
3796,1.2139119
3797,1.2139165
3798,1.2139192
3799,1.2139313
3800,1.2139543
3801,1.2139777
3802,1.214006
3803,1.2140307
3804,1.2140524
3805,1.2140661
3806,1.2140797
3807,1.2140981
3808,1.2141241
3809,1.2141483
3810,1.2141813
3811,1.2142185
3812,1.2142568
3813,1.2142997
3814,1.2143438
3815,1.2143869
3816,1.2144172
3817,1.2144492
3818,1.21447
3819,1.2144727
3820,1.2144694
3821,1.2144784
3822,1.2144942
3823,1.2145085
3824,1.2145268
3825,1.2145411
3826,1.2145473
3827,1.214543
3828,1.2145269
3829,1.2145095
3830,1.2144972
3831,1.2144829
3832,1.2144789
3833,1.2144918
3834,1.2145092
3835,1.2145343
3836,1.2145686
3837,1.2146176
3838,1.2146581
3839,1.2147027
3840,1.2147427
3841,1.2147729
3842,1.214791
